_id,Type,No of units,Apartment Name / House Address,Monthly expense on water,Do you have water rationing?,How many dry days  recently?,Source of water (Select multiple if required),How often do you buy water,No of tankers,Tanker capacity (in litres),Average tanker price,Do you use treated STP water for flushing/gardening?
212,Independent House,"","No 31 shreyas   , gangamma layout   jalahalli post , Bangalore 560013",1000,4 hours and 3 days a week,0,BWSSB,"","","","",""
213,Independent House,"","16, Central Revenue Layout 2 RK Hegde Nagar Bangalore 560077",700,"","",Borewell,"","","","",""
214,Independent House,"","#39/40, SKANDHA NILIYA, 1st main, 1st cross, Hoodi badavene, Amruthalli main road",2000,No,1,BWSSB,"","","","",""
215,Apartment,4,VAAS Residency,3000,"","",BWSSB,"","","","",No
216,Apartment,40,Vanshee Citadel Apartment,2000,No,"2 days a week, especially at night or early morning",Tanker Water,Every day,2,6000,1300,Yes
217,Independent House,"","450, 2nd cross, 3rd stage, 3rd block
Basaveshwaranagar",1300,No,nill,BWSSB,"","","","",""
218,Apartment,24,"Neni Paridise, Anugraha Layout roas, Bnarayanpura, mahadevpura",300,N/A,none,"BWSSB
Borewell","","","","",No
219,Independent House,"","6th cross, Rifco shanthinikethan layout, medahalli",250,yes,3,BWSSB,"","","","",""
220,Apartment,6,"Sai residency
Nagarbhavi",1500,No,nil,"BWSSB
Borewell","","","","",No
221,Independent House,"","Nisarga Layout, Harapanahalli, Jigani",600,"Yes, Supply for 2hrs, every 2 days",Alternative,"Borewell
Tanker Water",0,0,0,0,""
222,Apartment,78,Vmaks rangoli,120000,No,10,Tanker Water,1,5,20000,1500,No
223,Apartment,800,Ittina Mahavir Apartments,1000,NO,None,Tanker Water,NA,NA,NA,NA,Yes
224,Independent House,"",131st Main  20th B Cross  Opp To Peppers Restaurant Ejipura Vivek Nagar Po,1300,"","","BWSSB
Tanker Water",10,1,4500,500,""
225,Independent House,"","485,6th Main,8th Cross,Mico Colony,BTM 2ND STAGE
Archana",1000,Yes,For about 4-5 days,BWSSB,"","","","",""
226,Independent House,"","404, Nishigandh,
5th A Main, Kalyan Nagar
2nd Block, HRBR Layout",300,Yes-Supply only 3 days per week,"",BWSSB,"","","","",""
227,Independent House,"","On road with no house. Sometimes in mathikere, sometimes in banashankari, sometimes in yelahanka",900,All the time dependent on public toilet.,"","BWSSB
Borewell
Open Well
Tanker Water",Daily,0,0,0,""
228,Apartment,1350,Suncity,4500,"","",Borewell,"","","","",Yes
229,Apartment,80,Trifecta surjapur,2000,Yes,2 days,Tanker Water,4 days,4,1000,1600,Yes
230,Apartment,48,Meenakshi Enclave,126000,"","",Tanker Water,1,3,5000,1400,No
231,Independent House,"",#24,4500,"","",Tanker Water,7,4,4000,1200,""
232,Apartment,12,"6th Main
11, Iris Apts, 195",5000,No,"","BWSSB
Borewell","","","","",No
233,Apartment,12,Motherland,3000,No,"",Tanker Water,1,1,10000,800,No
234,Apartment,80,Ushodaya Aqua,110000,No,1,Tanker Water,Daily,06-Jul,6000,800,Yes
235,Independent House,"","7th cross, Avani Shringeri Nagar, Nyanapanahalli.560076",200,"","",Borewell,"","","","",""
236,Apartment,6000,"Subha dream acres,  varthur",5000-6000,No,Nothing as of now,Tanker Water,Everyday twice,70,120,1800- 2000,No
237,Apartment,300+,SVS Wingates,1.5L,No,Few,Tanker Water,Everyday,10+,Depends,900,Yes
238,Independent House,"","No. 28, Belle Vista, 9th Cross, 2nd Floor
Phase-1, Reliable Residency,",9600,no,"","Borewell
Tanker Water",2,12,4000,1000,""
239,Independent House,"",Sunrise appartment,2000,"","",Tanker Water,3,3,15000,800,""
240,Apartment,189,MJR platina,500000,Yes supply few hours morning evening since february,2 days,Tanker Water,1,15,not sure,2000,No
241,Independent House,"","No 7, A cross, Balaji Layout, Horamavu aagra main road
Babusabpalya, Bangalore",2400,Yes few hours supply in the month of jaJanua and fFebruar,No water supply at during the month of march,"BWSSB
Tanker Water",Every week we buy one tanker,4,5000,600,""
242,Independent House,"","Pearl villa,#5, 3rd cross bangalore school roadn Naganathpura",2500 to 3000,No,"",Tanker Water,Every 5 days,One,5000,450 to 500,""
243,Apartment,1,"Balaji layout , Babusapalya , bangalore , 560043",150,Yes,It's becoming 4 weeks now,BWSSB,"","","","",No
244,Independent House,"","#226/8,13th main,Lake Dew Residency Haralur",3000,Once in a week supply by community bore wekk,3 month,Borewell,"","","","",""
245,Apartment,86,"R&S Riviera, Thanisandra",80000,"Yes usually in summer, but last year entirely dependent on tanker",25 days in a month,Tanker Water,Everyday,10-Dec,4000,400,Yes
246,Apartment,290,"Trinity Acres and woods
Sarjapur a road",550000,"",2,Tanker Water,Everyday,30,5000,750,No
247,Apartment,850,Alpine eco,600000,Yes every day,0,"Borewell
Tanker Water",1,60,1000,1100,Yes
248,Independent House,"","#7, Roshini Garden Main Road,
Roshini Garden Layout,
Margondanahalli,
Near Sapalamma Temple",840,no,0,Tanker Water,9,1,5000,270,""
249,Independent House,"","no 21,17th main,kodihally,HAL 2nd  stage, indiranagar",500 per flat,"","",Borewell,"","","","",""
250,Independent House,"","HSR Layout,Sector 4,",400,No,"","BWSSB
Borewell","","","","",""
251,Independent House,"","1st Main, 1st Cross
MSR Nagar, MSRIT PO",700+ tanker water 600,Water supply only on alternate days,Yes. No water for 3 continuous days.,"BWSSB
Tanker Water",Whenever bwssb water supply fails,1,6000 ltrs,600,""
252,Independent House,"","49, first floor,
6th Main, 13th  C Cross,
Teachers Colony,
Venkatapura,
Koramangala 1st Block,
Bangalore  560034.",1500,"","",BWSSB,"","","","",""
253,Independent House,"","Sidedhalli, Near Bone Mill
Hesarghatta Main Road",500,"","",Tanker Water,Three,2,600,800,""
254,Independent House,"","#1/1(2073)
16TH C MAIN, HAL 2ND STAGE",1200,Yes,"4 days, we haven't had water suppy",BWSSB,"","","","",""
255,Independent House,"",Ragavendra vaibava,5000,No,01-Feb,BWSSB,"","","","",""
256,Apartment,60,Ajantha Meadows,60000,No,All,"Borewell
Tanker Water",1,4,5000,1000,Yes
257,Apartment,100,"#Flat no-202,A-Block,SLS Springs,Royal Placid Phase-1,Haralur Road",1500,No,None,Tanker Water,1,10,5000,850,Yes
258,Apartment,270,"Innovative Oak Garden
Bhoganhalli",1000,Yes - In March do not supply from 12PM-4PM,6 days in March,"Borewell
Tanker Water",1,2,15000,1500,Yes
259,Apartment,252,"A1/703, platinum lifestyle, 80 feet road, royal county, jp nagar 8th phase",0,"","",BWSSB,"","","","",Yes
260,Apartment,4,"#124/125 SLR Complex 6th cross 29th Main Lake Road
Above Nilgiris Supermarket,BTM 2nd Stage",0,No,0,Borewell,"","","","",No
261,Independent House,"",Banashankari,500,No,"",BWSSB,"","","","",""
262,Independent House,"","#195,4th cross, Siraj Layout, Shikaripalya,Electronic city",2000,"Yes, but it's not consistent. Depends on the how connected you are","Months, water recently started coming again, but due to broken taps there is water loss and as there is no force to the water due to this, we receive very less water","BWSSB
Tanker Water",Every 10-15 days,02-Mar,250,500,""
263,Independent House,"",Sai Meadows layout,3500,No,2,Tanker Water,7,4,5000,1000,""
264,Independent House,"",Kathriguppe KEK Main RoRoa,400,"",3days in February,BWSSB,"","","","",""
265,Apartment,40,Ashwini Heights,"25,000",No,3,Tanker Water,Every day,4,6000,28000,No
266,Apartment,300,Psr astAS,230000,"","",Tanker Water,Every day,700,2000,700,Yes
267,Independent House,"","299,superintendent Dinne, hommadevanahalli
Gottigere post, bannergatta Road",2000,"","",Tanker Water,Weekly,1 or 2,400,400,""
268,Apartment,350,"Samhita Rainbow M T B 
Vibgyor School Road Tubarahalli",500000,Mo,"",Tanker Water,Daily,15,10000,1250,Yes
269,Independent House,"","202, 7th A cross, Soundrya Layout, Hessargatta Main road",1500,No,6 months,Tanker Water,10,3,6000,500,""
270,Apartment,100,Block 1 Flat 102 Smr Vinay Estate,1500,No,None,Tanker Water,Every day,20,5000l,700,No
271,Apartment,105,"D105, Ahad Meadows
Behind RGA Tech Park",200000,Yes 4 hours,3,"Borewell
Tanker Water",Daily,4,12000,2000,Yes
272,Apartment,450,B901 orchid Lakeview Kariyamana Agrahara Bellandur lake road 560103,7000,No,10 days,Tanker Water,Everyday,15,1000,2000,Yes
273,Apartment,140,"malibu Rising City, Krishna Kuteer Phase 2 Road Channasandra, Bengaluru, Karnataka 560067",0,No,0,Borewell,"","","","",Yes
274,Apartment,70,DS Max Spectrum,140000,Yes,5,Tanker Water,Daaily,6,6000,800,Yes
275,Apartment,336,Orchid Lakeview bellandur,6000,"","",Tanker Water,Everyday,30,100,2000,Yes
276,Independent House,"",Kalyan nagari 9th A main,300,Yes,Nil,BWSSB,"","","","",""
277,Independent House,"","54 karthiknagar, marathahall,bengaluru",2500 to 3000,"","",BWSSB,"","","","",""
278,Apartment,4,"#12, 3RD FLOOR, 5TH MAIN ROAD, KR GARDEN",400,"","","BWSSB
Tanker Water",5,2,500,600,No
279,Apartment,45,"Wama Ibbanee Apartments, Bellendur",Variable,Yes. No supply for 4 hours,No,"Borewell
Tanker Water",Every day,02-Mar,6000,600-1300,Yes
280,Independent House,"","20, Reliable Residency,Harlur",3000,No,"",Tanker Water,Every 10 days,1,4500,1000,""
281,Independent House,"",Vijayanagara,250,No,0,BWSSB,"","","","",""
282,Apartment,70,"001a Aratt royal manor 24th main Somsundarapalya
Hsr layout 2nd sector",2000,No,0,"BWSSB
Tanker Water",Every other day,4 per day,600,1000,No
283,Independent House,"",37,3000rs,No,No,Tanker Water,Weekly 3 Days,10,3500,300,""
284,Independent House,"","12th cross, Maruthi nagar extension, Madiwal",10000,Yes only for 4hrs for two days,So many days,"BWSSB
Tanker Water",3,10,4500,1000,""
285,Apartment,7,SM Homes,1800,No..,1day in March,Tanker Water,Everyday,1,2500,450,No
286,Apartment,54,"Indu heights, 6th g cross, kaggadasapura, c v Raman Nagar, Bangalore 93",70000,No,02-Mar,Tanker Water,Everyday,7,4000,450/-,Yes
287,Apartment,100,Shilpitha cascade,300,Yes carvy water is there but just 20% of needs,0,"BWSSB
Borewell
Tanker Water",Daily twice,120,6000,600,No
288,Apartment,4,"115, evergreen street 3rd Main,  Indira Gandhi 1st main 1st cross near Madonna School Udayanagar Bangalore 560016",1500,"Yeas, cavery water comes only on Wednesday and Nane sake on Friday ,water tanker people give money for the valve  opening cavery pipe people to open less and sent little water so that they are able to tanker more water to all in our locality.",We're able to manage with tankers,"BWSSB
Tanker Water",Weekly,1 1/2 to 2,5000,400,No
289,Apartment,12,Anusha Nilayam,15000,Nope,It's 4 days a week,"BWSSB
Tanker Water","Except Tuesday and Friday, remaining every day",Two tankers,6000litres,750,No
290,Independent House,"","6, kaveri street,  Basavanagar",200,"","",BWSSB,"","","","",""
291,Apartment,23,"Rajana Nakshatra Apartment,6th G Cross, Kaggadasapura, Bangalore",45000,No,No water since six months,Tanker Water,Every day,3,5000,500,No
292,Apartment,35,Pradham Gardenia,15000,Yes,"","BWSSB
Borewell","","","","",No
293,Apartment,3,"216, b block, SLV sapphire apartment, chikkabanvara main road,",0,"","",Borewell,"","","","",Yes
294,Apartment,20,RJ Sthira,20000,"","",Tanker Water,1,1,5000,500,No
295,Apartment,1887,Brigade Meadows,0,No,0,Borewell,"","","","",Yes
296,Apartment,95,"Golden Palms, 1st Main, Nagappa Reddy Layout
Kaggadasapura, C.V Raman Nagar, Near Kaggadasapura Rly Gate",50000,Yes,0,"BWSSB
Borewell
Tanker Water",7,10,4000,500,No
297,Independent House,"",RMV Extn,800,Yes,Quite often,BWSSB,"","","","",""
298,Apartment,44,Hsr grand apartment,60000,No,"","BWSSB
Borewell
Tanker Water",Daily,4,10000,450,No
299,Apartment,500,Sonestaa Meadows,1000000,Yes,Every day,"Borewell
Tanker Water",Every day,25,10000,1500,Yes
300,Apartment,28,Indu pride,2000,No,3 days,Tanker Water,6-7 tanks daily,7,6000l,400,No
301,Apartment,12,"Slv Paradise, 10th main, 7th cross, marutinagar, malleshpalya, c v Raman Nagar post",20000,No,3,"BWSSB
Tanker Water",Alternate day,1,75000,700,No
302,Apartment,75,VS enclave apapartment,90000/-,No,None,"Borewell
Tanker Water",Daily,5,6000/-,450,No
303,Apartment,330,H m symphony,300000,"","",Tanker Water,Everyday,10,20000,3000,Yes
304,Apartment,12,"PNR residency, Balaji Layout",400,no,0,"Borewell
Tanker Water",7,1,10000,1000,No
305,Apartment,40,"5th Main, 7th B cross , Malleshpalya , near NCFE School, Bangalore-560075",67578,Yes- supply for only few hours and only for three days in a week,weekly three days,"BWSSB
Tanker Water",all,97 in month,6000,600,No
306,Apartment,4,Indu Pride Apartment,54000,Continuous,No,Tanker Water,1,4,6000,400,No
307,Independent House,"","Dhanalakshmi nilaya, 8th cross, Bahubali nagar, Jalahalli 560013.",300,"Supply during mornings & evenings totally 4 hours per day, All through the year.",No dry days.,BWSSB,"","","","",""
308,Independent House,"","Mudhaliyar Layout, 2nd cross, KPCL layout, 6th cross, Kasavanahalli
#20",120000,no,5,Tanker Water,1,2,500,2000,""
309,Apartment,7,"212/1-1, 11th Cross, Sarakki Main Road, 1st Phase JP Nagar, Bangalore - 78",4000,Yes,4,"BWSSB
Tanker Water",90,1,8000,700,No
310,Apartment,1,"Sonestaa Meadows, thubarahalli",300000,No,"","Borewell
Tanker Water",Everyday,6,10000,1500,Yes
311,Apartment,25,"Sir Balaji Paradise, Abbiah Reddy Layout Kaggadaspura",40000,"","","Borewell
Tanker Water",Every day,3,3000,450,No
312,Apartment,50,"Kk towers ,6th cross kaggdaspura",200000,No,"",Tanker Water,Every day,6,3000,6000,No
313,Apartment,1100,Ittina Neela AprtmeApa,1500,No,No,Tanker Water,Everyday,15,2000,No idea,Yes
314,Independent House,"",31 6th cross 1st main Kgf munireddy layout,1500,Few hours 2 days a week,4 days,BWSSB,"","","","",""
315,Apartment,111,Ashoka Windows and Annex,150000,No,No,Tanker Water,30 days,12,6000,500,No
316,Independent House,"",Kpc Layout Kasvanahalli,10000,No,3 days as water tanker not coming and demand ING double price.,"Borewell
Tanker Water",Every week .6-7 tankers in a month,7,4000,1000,""
317,Apartment,52,Indu,1.3L,No,1,Tanker Water,1,4,6000,600,No
318,Apartment,52,Sai Priya Infra Serenity,0,"","",Borewell,"","","","",No
319,Independent House,"","#33, 29th B cross, Balaji Layout, kaggadasapura, Bengaluru",7000,No,"","BWSSB
Tanker Water",Every 5 days once,6,7000,750,""
320,Apartment,109,Ashoka windows,200000,"","",Tanker Water,Daily,19_15,15000,1900,Yes
321,Apartment,75,"Vaastu Lavender Block One, Mylasandra Village, Kengeri Hobli RR Nagar Bangalore 560059",500,Yes - During summer from 12 Noon to 5:00 PM,So far nothing this year. It could start since borewell yields have dropped.,"BWSSB
Borewell","","","","",Yes
322,Independent House,"",Sector 37 house no.973 faridabad,50,No,None,Borewell,"","","","",""
323,Apartment,16,"003 HM Cambridge Square
14/2 Cambridge Rd",0,no,none,Borewell,"","","","",No
324,Independent House,"","#29, 9th Cross, 16th Main, BTM 1st stage, Bangalore 560029",500,"",2,Borewell,"","","","",""
325,Apartment,210,"apartment, neotown road , electronic city, bangalore",250,No,0,Borewell,"","","","",Yes
326,Apartment,314,"SMR VINAY GALAXY
Hoodi circle ITPL road 
Bangalore 560048",1.5 lakhs,No,Nil,"BWSSB
Borewell
Tanker Water",Every day,3,12000,1400,Yes
327,Apartment,270,"BM Glorietta, borewell road, nalluruhalli, Whitefield",300000,"Yes, we have only from morning 6am to 12pm and night 5pm to 12am",2 to 3 days in march,Borewell,"","","","",No
328,Apartment,400,Sobha Daffodil,4000,No,0,Tanker Water,1,25,6000,1800,Yes
329,Independent House,"","No.22, 80 Feet Road, H.M.T.LAYOUT R.T.NAGAR BANGALORE 560032",150 TO 200,"","",BWSSB,"","","","",""
330,Apartment,70,Jeevan Exotic.,30000,1 hour per day,No water for more than 1hour to run pump,"Borewell
Tanker Water",Every day,2,5000,800,Yes
331,Apartment,150,Srinivasa Classic,1500,Yes,0,Tanker Water,1,5,4000,1500,Yes
332,Apartment,30,Golden Enclave Phase III,12000,"","",Tanker Water,1,1,3500,350,No
333,Apartment,56,"Subha Nandana, Electronics city phase 1",30000,"","","Borewell
Tanker Water",Every Days,2,2000,1500,No
334,Apartment,71,Yelahanka,1000,No,0,Borewell,"","","","",Yes
335,Apartment,45,Tribhuvan paradise,99400,No,No,Tanker Water,1,2,6000,1400,No
336,Apartment,100,Sri Sai Ikon,150000,No,"",Tanker Water,1,2,15000,1500,Yes
337,Independent House,"",14 B CROSS 2 PHASE 2 STAGE  MAHALAKSHMIPURAM,1200,Yes,0,BWSSB,"","","","",""
338,Independent House,"","2, 9th cross akshaya nagara",2500,"","",Tanker Water,7,5,3000,550,""
339,Apartment,13,Mana Residency,40000,No,3,Tanker Water,Daily,1,1200ltr,1400,No
340,Independent House,"","8th B main road, Srinidhi Layout, Vidyaranyapura",400-600,Supply twice a week. Sump gets filled.,Zero.,BWSSB,"","","","",""
341,Independent House,"",South Bangalore,750,Alternative days,0,"BWSSB
Borewell","","","","",""
342,Independent House,"","# 28, 2 Main, 
Bangalore - 560078",1600,"","","BWSSB
Borewell","","","","",""
