title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area
3 BHK House for Rent in udayamperoor Kochi,"15,000",Unfurnished,3.0,Bachelors/Family,,Immediately,1116 sqft
2 BHK Apartment for Rent in Pachalam Kochi,"11,000",Unfurnished,2.0,Bachelors/Family,2 out of 2,Immediately,850 sqft
1 BHK Apartment for Rent in Thevara Kochi,"15,000",Furnished,1.0,Bachelors,Ground out of 3,Immediately,400 sqft
3 BHK Villa for Rent in Aikaranad South Kochi,"16,000",Unfurnished,3.0,Bachelors/Family,,Immediately,1800 sqft
3 BHK Builder Floor for Rent in Elamakkara Kochi,"15,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,
2 BHK Apartment for Rent in Kakkanad Kochi,"15,000",Furnished,1.0,Bachelors/Family,Ground out of 2,Immediately,700 sqft
2 BHK Apartment for Rent in Tripunithura Kochi,"20,000",Semi-Furnished,2.0,Bachelors/Family,3 out of 14,Immediately,1100 sqft
"3 BHK Apartment for Rent in Galaxy Luxor, Kadavanthra Kochi","20,000",Furnished,2.0,Bachelors,4 out of 4,Immediately,1000 sqft
2 BHK Apartment for Rent in Ayyappankavu Kochi,"25,000",,,Bachelors/Family,,Immediately,
5 BHK House for Rent in Kandanad Kochi,"30,000",Semi-Furnished,5.0,Bachelors/Family,1 out of 2,Immediately,
3 BHK Apartment for Rent in Aluva Kochi,"15,000",Semi-Furnished,4.0,Bachelors/Family,7 out of 14,Immediately,1600 sqft
"2 BHK Apartment for Rent in Jawahar Nagar, Kadavanthra Kochi","30,000",Furnished,3.0,Bachelors/Family,2 out of 2,Immediately,950 sqft
3 BHK Builder Floor for Rent in Edappally Kochi,"16,500",Unfurnished,3.0,Bachelors/Family,2 out of 2,Immediately,1150 sqft
3 BHK Apartment for Rent in shenoys Kochi,"32,000",Furnished,2.0,Bachelors/Family,9 out of 12,Immediately,1400 sqft
1 BHK Apartment for Rent in Angamaly Kochi,"9,500",Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,200 sqft
2 BHK Villa for Rent in Kochi,"25,000",Furnished,2.0,Bachelors/Family,,Immediately,
2 BHK House for Rent in Maradu Kochi,"11,000",Unfurnished,1.0,Bachelors/Family,,Immediately,
1 BHK House for Rent in Nedumbassery Kochi,"8,000",Semi-Furnished,1.0,Bachelors/Family,,Immediately,
2 BHK Apartment for Rent in Thevara Kochi,"16,000",Semi-Furnished,2.0,Bachelors/Family,8 out of 13,Immediately,840 sqft
3 BHK Villa for Rent in Thuthiyoor Kochi,"42,000",Furnished,3.0,Bachelors/Family,,Immediately,
1 BHK Builder Floor for Rent in Vazhakkala Kochi,"15,000",Furnished,1.0,Bachelors/Family,1 out of 6,Immediately,
2 BHK Builder Floor for Rent in Kalamassery Kochi,"14,500",Semi-Furnished,2.0,Bachelors/Family,Ground out of 4,Immediately,
1 BHK Apartment for Rent in Edappally Kochi,"18,000",Unfurnished,1.0,Bachelors,1 out of 3,Immediately,600 sqft
2 BHK House for Rent in Thoppumpady Kochi,"17,000",Furnished,2.0,Family,,Immediately,1000 sqft
2 BHK Apartment for Rent in Karikkamuri Kochi,"19,000",Unfurnished,2.0,Bachelors/Family,Ground out of 3,Immediately,850 sqft
2 BHK Apartment for Rent in Edappally Kochi,"18,000",Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Apartment for Rent in Confident Cygnus III, Kakkanad Kochi","13,000",Semi-Furnished,2.0,Family,2 out of 8,Immediately,972 sqft
2 BHK Builder Floor for Rent in Vazhakkala Kochi,"20,000",Furnished,2.0,Bachelors/Family,4 out of 4,Immediately,
"3 BHK Apartment for Rent in RDS Aura, Kadavanthra Kochi","50,000",Furnished,4.0,Bachelors/Family,5 out of 12,Immediately,1750 sqft
3 BHK Builder Floor for Rent in Kadungalloor Kochi,"20,000",Semi-Furnished,3.0,Bachelors/Family,Ground out of 2,Immediately,
2 BHK Apartment for Rent in Nanma one cochin Kochi,"25,000",Semi-Furnished,2.0,Bachelors/Family,6 out of 26,Immediately,900 sqft
2 BHK House for Rent in Priyadarshini colony Kochi,"18,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 1,Immediately,
1 BHK House for Rent in Chottanikkara Kochi,"30,000",Furnished,1.0,Bachelors/Family,,Immediately,650 sqft
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi","72,000",Furnished,3.0,Bachelors,14 out of 26,Immediately,
2 BHK Builder Floor for Rent in Midhunam House Kochi,"17,500",,,Bachelors/Family,,Immediately,
2 BHK Apartment for Rent in Kadavanthra Kochi,"30,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 14,Immediately,1200 sqft
2 BHK House for Rent in Pachalam Kochi,"20,000",Semi-Furnished,2.0,Bachelors/Family,Ground out of 3,Immediately,
"3 BHK Apartment for Rent in DD Platinum Planet, Kathrikadavu Kochi","38,000",Furnished,3.0,Bachelors/Family,8 out of 18,Immediately,1850 sqft
4 BHK Villa for Rent in Vennala Kochi,"65,000",Furnished,5.0,Family,,Immediately,2700 sqft
1 BHK Apartment for Rent in Jose Junction Kochi,"15,000",Semi-Furnished,1.0,Bachelors/Family,2 out of 2,Immediately,750 sqft
3 BHK House for Rent in Thevara Kochi,"20,000",Unfurnished,3.0,Bachelors/Family,Ground out of 2,Immediately,
3 BHK Apartment for Rent in Starpark apartment Kochi,"25,000",,,Bachelors/Family,,Immediately,
"2 BHK Apartment for Rent in Mattancherry, Kochi Kochi","13,000",Unfurnished,2.0,Bachelors/Family,1 out of 2,Immediately,
5 BHK Villa for Rent in judgemukk Kochi,"45,000",Furnished,5.0,Bachelors/Family,,Immediately,2800 sqft
3 BHK Apartment for Rent in Kadavanthra Kochi,"18,000",Semi-Furnished,3.0,Bachelors/Family,5 out of 19,Immediately,
3 BHK Apartment for Rent in Palarivattom Kochi,"25,000",Unfurnished,3.0,Bachelors,6 out of 10,Immediately,
3 BHK Apartment for Rent in Tripunitura Kochi,"20,000",Semi-Furnished,3.0,Bachelors/Family,2 out of 2,Immediately,
"2 BHK Apartment for Rent in ATRIA THEVARA, Thevara Kochi","25,000",Furnished,2.0,Bachelors/Family,12 out of 14,Immediately,1350 sqft
2 BHK Apartment for Rent in Dream flower estella 2 Kochi,"17,000",Unfurnished,2.0,Bachelors/Family,1 out of 6,Immediately,950 sqft
3 BHK House for Rent in Panangad Kochi,"20,000",Semi-Furnished,3.0,Bachelors/Family,2 out of 2,Immediately,
"1 BHK Apartment for Rent in Aquacity, Aluva Kochi","14,500",Furnished,1.0,Bachelors,19 out of 22,Immediately,500 sqft
2 BHK House for Rent in Thevara Kochi,"16,000",Unfurnished,2.0,Bachelors/Family,1 out of 2,Immediately,
3 BHK Villa for Rent in Nedumbassery Kochi,"25,000",Furnished,4.0,Bachelors/Family,,Immediately,
1 BHK House for Rent in Eroor Kochi,"12,000",Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,
1 BHK House for Rent in Gandhinagar Kochi,"8,000",Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,
1 BHK House for Rent in Kacheripadi Kochi,"8,000",Unfurnished,1.0,Bachelors/Family,,Immediately,
"3 BHK Apartment for Rent in Hoysala D'zire Apartments, Kochi","20,000",Semi-Furnished,3.0,Bachelors/Family,1 out of 11,Immediately,
4 BHK House for Rent in Kerala Kochi,"38,000",Furnished,4.0,Family,1 out of 2,Immediately,
3 BHK House for Rent in Palluruthy Kochi,"16,000",Semi-Furnished,2.0,Bachelors,,Immediately,1000 sqft
1 BHK Apartment for Rent in Mundamveli Kochi,"7,500",Semi-Furnished,1.0,Bachelors,1 out of 2,Immediately,
"2 BHK Apartment for Rent in DD Diamond Valley, Edachira Kochi","29,500",Furnished,2.0,Bachelors/Family,15 out of 17,Immediately,968 sqft
1 BHK House for Rent in Kalamassery Kochi,"10,000",Furnished,1.0,Bachelors/Family,,Immediately,
"3 BHK Apartment for Rent in Puravankara Purva Grandbay, Marine Drive Kochi","43,000",Unfurnished,3.0,Bachelors,4 out of 13,Immediately,
3 BHK Apartment for Rent in Panampily Nagar Kochi,"40,000",Furnished,3.0,Bachelors/Family,4 out of 11,Immediately,1600 sqft
2 BHK House for Rent in Eroor Kochi,4 Lac,Unfurnished,1.0,Bachelors,,,
3 BHK House for Rent in Eroor Kochi,"30,000",Unfurnished,3.0,Bachelors/Family,1 out of 1,Immediately,3500 sqft
1 BHK House for Rent in Eloor Kochi,"12,000",Semi-Furnished,1.0,Bachelors,Ground out of 1,Immediately,2 sqft
"3 BHK Apartment for Rent in Riviera Retreat, Thevara Kochi","35,000",Furnished,3.0,Bachelors/Family,10 out of 15,Immediately,
"2 BHK Apartment for Rent in KB Apartments, Kadavanthra Kochi","15,000",Semi-Furnished,2.0,Family,5 out of 5,Immediately,700 sqft
2 BHK Apartment for Rent in Menaka-MARINE DRIVE Kochi,"20,000",Semi-Furnished,2.0,Bachelors/Family,3 out of 11,Immediately,
3 BHK House for Rent in Poonithura Kochi,"19,000",Unfurnished,3.0,Bachelors,Ground out of 2,Immediately,1300 sqft
2 BHK Apartment for Rent in Shanti Nagar Kochi,"13,000",Unfurnished,2.0,Bachelors/Family,2 out of 2,Immediately,650 sqft
2 BHK House for Rent in Elamakkara Kochi,"15,000",Semi-Furnished,2.0,Family,,Immediately,
3 BHK House for Rent in Near Federal Park Vennala Thurithiyil Unnikrisnan Road Kochi,"20,000",Semi-Furnished,3.0,Bachelors/Family,,Immediately,
2 BHK Villa for Rent in Kalamasery Kochi,"9,500",Unfurnished,2.0,Family,,Immediately,
2 BHK Builder Floor for Rent in Palluruthy Kochi,"9,000",Semi-Furnished,2.0,Bachelors/Family,Ground out of 3,Immediately,
4 BHK Villa for Rent in Kundanoor Kochi,"50,000",Furnished,4.0,Bachelors/Family,,Immediately,
"3 BHK Apartment for Rent in in Kakkanad, Kochi Kochi","13,000",Semi-Furnished,3.0,Bachelors/Family,1 out of 8,Immediately,
"3 BHK Apartment for Rent in Heera Life Style, Thrippunithura Kochi","25,000",Semi-Furnished,4.0,Bachelors/Family,19 out of 21,Immediately,
"1 BHK House for Rent in Palarivattom, near Medical Center Hospital Kochi","10,000",Furnished,1.0,Bachelors/Family,,Immediately,
3 BHK House for Rent in near KSRTC bus stand Kochi,"23,000",Semi-Furnished,3.0,Bachelors/Family,,Immediately,1500 sqft
1 BHK House for Rent in Nedumbassery Kochi,"8,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
2 BHK House for Rent in Kolenchery Kochi,"6,000",Unfurnished,1.0,Bachelors/Family,1 out of 1,Immediately,
3 BHK Builder Floor for Rent in Thevara Kochi,"20,000",Semi-Furnished,3.0,Bachelors/Family,Ground out of 3,Immediately,
1 BHK House for Rent in Ayyappankavu Kochi,"15,000",Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,
2 BHK Builder Floor for Rent in Elamakkara Kochi,"14,000",Unfurnished,2.0,Bachelors,1 out of 2,Immediately,1000 sqft
2 BHK House for Rent in Pachalam Kochi,Call for Price,Semi-Furnished,2.0,Family,1 out of 3,Immediately,
3 BHK Apartment for Rent in Panampily Nagar Kochi,Call for Price,Furnished,4.0,Bachelors/Family,11 out of 17,Immediately,2000 sqft
"2 BHK Apartment for Rent in Olive Heights, Kadavanthra Kochi","31,000",Unfurnished,2.0,Bachelors/Family,8 out of 18,Immediately,1254 sqft
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi","75,000",Furnished,4.0,Family,15 out of 25,Immediately,1574 sqft
1 BHK House for Rent in Infopark Campus Kochi,"10,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi","32,000",Furnished,2.0,Bachelors/Family,7 out of 9,Immediately,
"3 BHK Apartment for Rent in ABAD Daffodil Gardens, Thrippunithura Kochi","35,000",Semi-Furnished,3.0,Bachelors/Family,4 out of 10,Immediately,1540 sqft
"3 BHK Apartment for Rent in Tiknar Petals, Kadavanthra Kochi","30,000",Semi-Furnished,3.0,Bachelors/Family,3 out of 15,Immediately,
1 BHK House for Rent in Fort Cochin Kochi,"9,000",Semi-Furnished,1.0,Bachelors/Family,,Immediately,
"3 BHK Builder Floor for Rent in Tricore 22, Aluva Kochi","20,000",Furnished,3.0,Bachelors/Family,3 out of 22,Immediately,1800 sqft
1 BHK Apartment for Rent in Infopark Kochi,"15,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 4,Immediately,700 sqft
1 BHK Apartment for Rent in Angamali Kochi,"10,000",Furnished,1.0,Bachelors,1 out of 3,Immediately,100 sqft
2 BHK Builder Floor for Rent in Midhunam House Kochi,"17,500",Semi-Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,
"4 BHK Apartment for Rent in Ansal City, Thrippunithura Kochi","48,000",Furnished,4.0,Bachelors/Family,7 out of 11,Immediately,
"2 BHK Builder Floor for Rent in Tricore 22, Aluva Kochi","16,500",Furnished,2.0,Bachelors/Family,3 out of 5,Immediately,700 sqft
"3 BHK Apartment for Rent in SFS Grandville , Thrikkakara Kochi","40,000",Semi-Furnished,4.0,Bachelors/Family,6 out of 13,Immediately,1730 sqft
"1 BHK Apartment for Rent in Alpine Suites, Aluva Kochi","10,000",Furnished,1.0,Bachelors,,Immediately,
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi","90,000",Furnished,4.0,Bachelors/Family,13 out of 25,Immediately,1900 sqft
"3 BHK Apartment for Rent in Skyline Zircon , Panampily Nagar Kochi","38,000",Furnished,3.0,Bachelors/Family,4 out of 12,Immediately,
